Test Set,Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
map10x10_r5_o10_p5_test,adc_fixedt_10x10_o10_p5,0.8002,10.4657,59.1677,0.8426,1.1543,97061
map10x10_r5_o10_p5_test,adc_k1_10x10_o10_p5,0.7723,10.3660,61.5973,0.9183,0.8182,97062
map10x10_r5_o10_p5_test,adc_main_10x10_o10_p5,0.7381,10.2034,65.9896,1.0551,1.1348,97062
map10x10_r5_o10_p5_test,gcn_k1_10x10_o10_p5,0.7981,10.3554,58.8126,0.8316,0.6636,97061
map10x10_r5_o10_p5_test,gcn_k2_10x10_o10_p5,0.7764,10.3280,61.6014,0.9184,0.6829,105253
map10x10_r5_o10_p5_test,gcn_k3_10x10_o10_p5,0.7847,10.3668,60.1998,0.8748,0.6993,113445
map10x10_r5_o10_p5_test,gcn_k4_10x10_o10_p5,0.7971,10.3701,59.6263,0.8569,0.7178,121637
map10x10_r5_o20_p5_test,adc_fixedt_10x10_o10_p5,0.5355,10.9413,99.8359,1.9463,1.1336,97061
map10x10_r5_o20_p5_test,adc_k1_10x10_o10_p5,0.5355,10.4739,99.3597,1.9323,0.8128,97062
map10x10_r5_o20_p5_test,adc_main_10x10_o10_p5,0.5355,10.4261,98.8522,1.9173,1.1306,97062
map10x10_r5_o20_p5_test,gcn_k1_10x10_o10_p5,0.5239,10.5622,100.7742,1.9740,0.6557,97061
map10x10_r5_o20_p5_test,gcn_k2_10x10_o10_p5,0.5402,10.6638,98.7404,1.9140,0.6669,105253
map10x10_r5_o20_p5_test,gcn_k3_10x10_o10_p5,0.5297,10.6440,99.7998,1.9453,0.6799,113445
map10x10_r5_o20_p5_test,gcn_k4_10x10_o10_p5,0.5134,10.7211,102.4040,2.0221,0.6912,121637
map10x10_r5_o30_p5_test,adc_fixedt_10x10_o10_p5,0.3465,10.8084,138.0622,2.9853,1.1099,97061
map10x10_r5_o30_p5_test,adc_k1_10x10_o10_p5,0.3361,10.3889,137.8963,2.9805,0.7908,97062
map10x10_r5_o30_p5_test,adc_main_10x10_o10_p5,0.3755,10.2762,133.0456,2.8405,1.1058,97062
map10x10_r5_o30_p5_test,gcn_k1_10x10_o10_p5,0.3320,10.1687,139.4668,3.0258,0.6374,97061
map10x10_r5_o30_p5_test,gcn_k2_10x10_o10_p5,0.3278,10.1203,139.7697,3.0346,0.6569,105253
map10x10_r5_o30_p5_test,gcn_k3_10x10_o10_p5,0.3631,10.4114,133.8320,2.8632,0.6750,113445
map10x10_r5_o30_p5_test,gcn_k4_10x10_o10_p5,0.3154,10.4671,140.7012,3.0614,0.6916,121637
