Test Set,Model,Success Rate,Avg Steps (CT),Path Efficiency (PE),Avg Inference Time (ms/step),Parameters
map10x10_r5_o10_p5_test,gcn_k1_10x10_o10_p5,0.7981,10.3554,0.3326,0.6945,97061
map10x10_r5_o10_p5_test,gcn_k2_10x10_o10_p5,0.7764,10.3280,0.3337,0.6875,105253
map10x10_r5_o10_p5_test,gcn_k3_10x10_o10_p5,0.7847,10.3668,0.3333,0.7059,113445
map10x10_r5_o10_p5_test,gcn_k4_10x10_o10_p5,0.7971,10.3701,0.3344,0.7213,121637
map10x10_r5_o10_p5_test,adc_main_10x10_o10_p5,0.7381,10.2034,0.3323,1.1489,97062
map10x10_r5_o10_p5_test,adc_fixedt_10x10_o10_p5,0.8002,10.4657,0.3349,1.1464,97061
map10x10_r5_o10_p5_test,adc_k1_10x10_o10_p5,0.7723,10.3660,0.3332,0.8299,97062
map10x10_r5_o20_p5_test,gcn_k1_10x10_o10_p5,0.5239,10.5622,0.3423,0.6694,97061
map10x10_r5_o20_p5_test,gcn_k2_10x10_o10_p5,0.5402,10.6638,0.3454,0.6870,105253
map10x10_r5_o20_p5_test,gcn_k3_10x10_o10_p5,0.5297,10.6440,0.3468,0.7058,113445
map10x10_r5_o20_p5_test,gcn_k4_10x10_o10_p5,0.5134,10.7211,0.3477,0.7224,121637
map10x10_r5_o20_p5_test,adc_main_10x10_o10_p5,0.5355,10.4261,0.3399,1.1458,97062
map10x10_r5_o20_p5_test,adc_fixedt_10x10_o10_p5,0.5355,10.9413,0.3507,1.1429,97061
map10x10_r5_o20_p5_test,adc_k1_10x10_o10_p5,0.5355,10.4739,0.3401,0.8140,97062
map10x10_r5_o30_p5_test,gcn_k1_10x10_o10_p5,0.3320,10.1687,0.3589,0.6562,97061
map10x10_r5_o30_p5_test,gcn_k2_10x10_o10_p5,0.3278,10.1203,0.3538,4.1069,105253
map10x10_r5_o30_p5_test,gcn_k3_10x10_o10_p5,0.3631,10.4114,0.3530,0.6837,113445
map10x10_r5_o30_p5_test,gcn_k4_10x10_o10_p5,0.3154,10.4671,0.3637,0.7002,121637
map10x10_r5_o30_p5_test,adc_main_10x10_o10_p5,0.3755,10.2762,0.3549,1.1231,97062
map10x10_r5_o30_p5_test,adc_fixedt_10x10_o10_p5,0.3465,10.8084,0.3690,1.4458,97061
map10x10_r5_o30_p5_test,adc_k1_10x10_o10_p5,0.3361,10.3889,0.3605,5.2290,97062
