Test Set,Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
map10x10_r5_o10_p5_test,gcn_k1_10x10_o20_p5,0.7422,10.3124,65.9400,1.0535,0.6706,39717
map10x10_r5_o10_p5_test,gcn_k2_10x10_o20_p5,0.7899,10.4325,60.6387,0.8884,0.6811,47909
map10x10_r5_o10_p5_test,gcn_k3_10x10_o20_p5,0.7774,10.5047,60.9731,0.8988,0.7023,56101
map10x10_r5_o10_p5_test,gcn_k4_10x10_o20_p5,0.8085,10.4571,57.7153,0.7974,0.7193,64293
map10x10_r5_o10_p5_test,adc_main_10x10_o20_p5,0.7712,10.2497,62.9959,0.9618,1.1425,39718
map10x10_r5_o10_p5_test,adc_fixedt_10x10_o20_p5,0.8302,10.5673,55.7660,0.7367,1.1414,39717
map10x10_r5_o10_p5_test,adc_k1_10x10_o20_p5,0.7588,10.2906,64.0890,0.9959,0.8266,39718
map10x10_r5_o20_p5_test,gcn_k1_10x10_o20_p5,0.5553,10.6059,96.7078,1.8540,0.6613,39717
map10x10_r5_o20_p5_test,gcn_k2_10x10_o20_p5,0.6217,10.9438,87.4098,1.5796,0.6778,47909
map10x10_r5_o20_p5_test,gcn_k3_10x10_o20_p5,0.6100,10.9351,89.3190,1.6360,0.6851,56101
map10x10_r5_o20_p5_test,gcn_k4_10x10_o20_p5,0.6193,10.8741,88.2037,1.6031,0.6998,64293
map10x10_r5_o20_p5_test,adc_main_10x10_o20_p5,0.5856,10.6998,92.4307,1.7278,1.1112,39718
map10x10_r5_o20_p5_test,adc_fixedt_10x10_o20_p5,0.6461,11.3063,85.3679,1.5194,1.1081,39717
map10x10_r5_o20_p5_test,adc_k1_10x10_o20_p5,0.5925,10.6503,91.2980,1.6944,0.7957,39718
map10x10_r5_o30_p5_test,gcn_k1_10x10_o20_p5,0.4440,10.7009,123.3195,2.5597,0.6383,39717
map10x10_r5_o30_p5_test,gcn_k2_10x10_o20_p5,0.4668,11.0267,121.5207,2.5078,0.6557,47909
map10x10_r5_o30_p5_test,gcn_k3_10x10_o20_p5,0.4419,10.6432,124.0249,2.5801,0.6755,56101
map10x10_r5_o30_p5_test,gcn_k4_10x10_o20_p5,0.4689,10.7124,120.6639,2.4831,0.6924,64293
map10x10_r5_o30_p5_test,adc_main_10x10_o20_p5,0.4398,10.7972,123.6888,2.5704,1.1115,39718
map10x10_r5_o30_p5_test,adc_fixedt_10x10_o20_p5,0.4627,11.1300,121.4315,2.5052,1.1097,39717
map10x10_r5_o30_p5_test,adc_k1_10x10_o20_p5,0.4564,10.7364,121.3299,2.5023,0.7956,39718
