Test Set,Model,Success Rate,Average Makespan (Successful),Flowtime (FT),Flowtime Increase (dFT),Avg Inference Time (ms/step),Parameters
map10x10_r5_o10_p5_test,gcn_k1_10x10_o20_p5,0.7422,10.3124,65.9400,1.0535,0.9029,39717
map10x10_r5_o10_p5_test,gcn_k2_10x10_o20_p5,0.7899,10.4325,60.6387,0.8884,0.9870,47909
map10x10_r5_o10_p5_test,gcn_k3_10x10_o20_p5,0.7774,10.5047,60.9731,0.8988,1.0050,56101
map10x10_r5_o10_p5_test,gcn_k4_10x10_o20_p5,0.8085,10.4571,57.7153,0.7974,1.0295,64293
map10x10_r5_o10_p5_test,adc_main_10x10_o20_p5,0.7712,10.2497,62.9959,0.9618,1.4694,39718
map10x10_r5_o10_p5_test,adc_fixedt_10x10_o20_p5,0.8302,10.5673,55.7660,0.7367,1.4701,39717
map10x10_r5_o10_p5_test,adc_k1_10x10_o20_p5,0.7588,10.2906,64.0890,0.9959,1.1215,39718
map10x10_r5_o20_p5_test,gcn_k1_10x10_o20_p5,0.5553,10.6059,96.7078,1.8540,0.8863,39717
map10x10_r5_o20_p5_test,gcn_k2_10x10_o20_p5,0.6217,10.9438,87.4098,1.5796,0.9858,47909
map10x10_r5_o20_p5_test,gcn_k3_10x10_o20_p5,0.6100,10.9351,89.3190,1.6360,0.9985,56101
map10x10_r5_o20_p5_test,gcn_k4_10x10_o20_p5,0.6193,10.8741,88.2037,1.6031,1.0058,64293
map10x10_r5_o20_p5_test,adc_main_10x10_o20_p5,0.5856,10.6998,92.4307,1.7278,1.4283,39718
map10x10_r5_o20_p5_test,adc_fixedt_10x10_o20_p5,0.6461,11.3063,85.3679,1.5194,1.4252,39717
map10x10_r5_o20_p5_test,adc_k1_10x10_o20_p5,0.5925,10.6503,91.2980,1.6944,1.0954,39718
map10x10_r5_o30_p5_test,gcn_k1_10x10_o20_p5,0.4440,10.7009,123.3195,2.5597,0.9413,39717
map10x10_r5_o30_p5_test,gcn_k2_10x10_o20_p5,0.4668,11.0267,121.5207,2.5078,0.9631,47909
map10x10_r5_o30_p5_test,gcn_k3_10x10_o20_p5,0.4419,10.6432,124.0249,2.5801,0.6841,56101
map10x10_r5_o30_p5_test,gcn_k4_10x10_o20_p5,0.4689,10.7124,120.6639,2.4831,0.6937,64293
map10x10_r5_o30_p5_test,adc_main_10x10_o20_p5,0.4398,10.7972,123.6888,2.5704,1.1152,39718
map10x10_r5_o30_p5_test,adc_fixedt_10x10_o20_p5,0.4627,11.1300,121.4315,2.5052,1.1141,39717
map10x10_r5_o30_p5_test,adc_k1_10x10_o20_p5,0.4564,10.7364,121.3299,2.5023,0.7984,39718
